agent_id,gender,age,last_lat,last_lon,last_known_location,last_node_id,home_id,home_type,home_building_id,home_lat,home_lon,profession,work_place,work_place_type,work_place_building_id,work_place_lat,work_place_lon,last_infection_status,last_health_status,last_activities,eating_out_preference,vaccinated
241,M,16,36.093029050000005,140.09301335,house,1561,1764,house,1561,36.093029050000005,140.09301335,student,224,school,224,36.07830065,140.096101025,Recovered,Normal,go to restaurant,0.42,False
1246,F,50,36.115069150000004,140.1035333,university,1504,3040,apartments,766,36.090308425,140.112141425,university_student,1504,university,1504,36.115069150000004,140.1035333,Recovered,Normal,going home,0.06,False
2686,F,20,36.080425575,140.119699325,apartments,682,541,apartments,682,36.080425575,140.119699325,salaryman_outside_city,10,train_station,10,36.082676766666665,140.11130317777778,Recovered,Normal,idle,0.44,False
3297,M,51,36.10124605,140.098940025,apartments,966,2458,apartments,966,36.10124605,140.098940025,retailer,1010,retail,1010,36.111437699999996,140.11179835000002,Recovered,Normal,going home,0.42,False
607,F,35,36.11112775,140.10193281250002,university,557,2843,apartments,1153,36.105173175,140.10448236666664,university_student,557,university,557,36.11112775,140.10193281250002,Recovered,Normal,going home,0.39,False
1988,M,39,36.1030518,140.0992522,apartments,1089,674,apartments,1089,36.1030518,140.0992522,university_student,1501,university,1501,36.115279107142854,140.1038437357143,Recovered,Normal,idle,0.12,False
570,F,28,36.11112195,140.110317275,apartments,1392,426,apartments,1392,36.11112195,140.110317275,university_student,1237,university,1237,36.10106261666667,140.10703235,Recovered,Normal,do groceries,0.1,False
463,M,30,36.10336325454546,140.10199777272726,university,1125,874,house,227,36.084371875,140.09881445000002,university_student,1125,university,1125,36.10336325454546,140.10199777272726,Recovered,Normal,going home,0.6,False
4876,F,69,36.096676699999996,140.105317975,residential,1283,1768,residential,1283,36.096676699999996,140.105317975,scientist,590,laboratory,590,36.108777312499996,140.1034817,Recovered,Normal,idle,0.06,False
1053,F,35,36.094573662500004,140.10592317500002,residential,149,1382,residential,149,36.094573662500004,140.10592317500002,university_student,1538,university,1538,36.10304131666667,140.10431498333335,Recovered,Normal,idle,0.05,False
3512,M,35,36.11821738333333,140.09844974166666,apartments,1027,673,apartments,1027,36.11821738333333,140.09844974166666,retailer,302,retail,302,36.08481247500001,140.0965593,Susceptible,Normal,go to work,0.25,False
4976,M,44,36.093366599999996,140.09294697500002,house,1554,2632,house,1554,36.093366599999996,140.09294697500002,scientist,1734,laboratory,1734,36.087050062500005,140.10648205,Susceptible,Normal,do groceries,0.55,False
141,M,4,36.0851391,140.102101175,apartments,396,2611,apartments,396,36.0851391,140.102101175,student,1488,school,1488,36.08232345,140.109892325,Susceptible,Normal,idle,0.35,False
