type,id,startHour,finishHour,workDays
restaurant,0,10,21,[0 2 3 4 5 6]
restaurant,17,10,20,[0 1 2 3 4 6]
restaurant,23,10,20,[1 2 3 4 5 6]
restaurant,33,10,20,[1 2 3 4 5 6]
restaurant,34,10,20,[0 1 2 3 5]
restaurant,63,10,21,[0 1 2 3 4 5]
restaurant,70,10,21,[0 1 2 3 5 6]
restaurant,86,10,20,[0 1 2 3 4]
restaurant,172,10,20,[0 1 2 4 6]
restaurant,177,10,20,[0 1 2 4 5]
restaurant,178,10,21,[0 1 3 4 5 6]
restaurant,186,10,21,[1 2 3 4 5 6]
restaurant,261,0,0,[0 1 3 4 5]
restaurant,287,10,20,[0 2 3 5 6]
restaurant,346,10,20,[0 1 3 4 5 6]
restaurant,413,10,21,[0 1 2 3 5 6]
restaurant,418,10,20,[0 1 2 3 4 5]
restaurant,473,10,20,[0 2 4 5 6]
restaurant,514,10,20,[0 1 2 4 5]
restaurant,616,10,21,[0 1 2 3 5]
restaurant,617,10,20,[0 1 2 3 4 6]
restaurant,622,0,0,[0 2 4 5 6]
restaurant,639,10,20,[1 2 4 5 6]
restaurant,640,10,20,[0 1 3 4 5]
restaurant,714,10,20,[0 1 2 3 5]
restaurant,802,10,20,[1 2 3 4 5 6]
restaurant,803,10,21,[0 1 3 4 6]
restaurant,805,10,20,[0 1 2 3 4 5]
restaurant,806,10,20,[0 2 3 4 5 6]
restaurant,842,10,20,[0 1 3 5 6]
restaurant,1218,10,20,[2 3 4 5 6]
restaurant,1219,10,20,[1 2 3 4 6]
restaurant,1220,10,21,[0 1 2 3 4 5]
restaurant,1229,10,21,[1 2 3 4 5]
restaurant,1273,10,20,[0 1 2 4 5 6]
restaurant,1486,10,21,[0 1 2 3 4 6]
barbershop,117,9,20,[0 1 2 3 5 6]
barbershop,347,10,18,[0 1 2 3 5 6]
barbershop,348,9,20,[0 1 3 4 5]
barbershop,466,9,17,[0 3 4 5 6]
barbershop,583,9,18,[0 1 2 3 6]
barbershop,865,9,18,[1 2 3 4 6]
barbershop,866,9,19,[0 1 2 3 4 6]
barbershop,928,10,18,[0 1 2 4 6]
retail,1,8,18,[0 1 2 3 4 6]
retail,64,8,18,[0 1 2 3 4 6]
retail,65,9,19,[0 1 3 4 5 6]
retail,66,9,19,[0 1 2 3 4 5]
retail,139,9,19,[0 1 2 3 4 6]
retail,155,0,0,[0 1 2 3 4 5]
retail,179,8,19,[0 2 3 4 5 6]
retail,221,8,19,[1 2 3 4 5 6]
retail,228,8,18,[0 2 3 4 5 6]
retail,276,8,19,[1 2 3 4 5 6]
retail,280,8,18,[0 1 2 4 5 6]
retail,302,8,19,[0 1 2 3 5 6]
retail,344,8,18,[1 2 3 4 5 6]
retail,351,8,19,[0 1 2 3 4 5]
retail,412,9,20,[1 2 3 4 5 6]
retail,414,8,19,[0 1 2 3 4 6]
retail,421,8,18,[0 2 3 4 5 6]
retail,424,8,18,[0 1 3 4 5 6]
retail,437,9,19,[0 1 2 3 4 5]
retail,513,9,19,[0 2 3 4 5 6]
retail,607,8,18,[0 1 2 3 4 5]
retail,614,9,19,[0 2 3 4 5 6]
retail,709,9,20,[0 1 3 4 5 6]
retail,712,8,19,[0 1 2 3 4 6]
retail,713,9,19,[0 1 2 3 4 5]
retail,740,8,19,[0 1 2 4 5 6]
retail,742,9,19,[0 1 2 3 5 6]
retail,857,9,20,[0 2 3 4 5 6]
retail,858,8,18,[1 2 3 4 5 6]
retail,897,0,0,[0 1 2 3 5 6]
retail,929,8,18,[1 2 3 4 5 6]
retail,988,8,19,[0 1 2 3 4 5]
retail,989,9,20,[0 1 2 3 5 6]
retail,990,8,19,[0 1 2 3 5 6]
retail,991,9,19,[0 2 3 4 5 6]
retail,992,8,18,[0 1 3 4 5 6]
retail,993,9,19,[0 1 2 3 5 6]
retail,997,8,18,[0 2 3 4 5 6]
retail,1000,9,19,[1 2 3 4 5 6]
retail,1001,9,20,[0 1 2 3 4 6]
retail,1006,8,19,[0 2 3 4 5 6]
retail,1007,8,18,[0 1 3 4 5 6]
retail,1008,9,19,[0 1 3 4 5 6]
retail,1010,8,18,[0 1 2 3 4 6]
retail,1011,9,20,[0 1 2 4 5 6]
retail,1012,0,0,[1 2 3 4 5 6]
retail,1013,9,19,[0 1 2 3 4 6]
retail,1014,8,18,[0 1 2 4 5 6]
retail,1015,9,20,[0 1 2 3 4 6]
retail,1016,9,20,[0 1 2 3 5 6]
retail,1018,9,19,[0 1 2 4 5 6]
retail,1019,8,18,[0 1 2 3 4 5]
retail,1256,8,18,[0 1 2 3 5 6]
retail,1257,8,18,[0 1 2 3 5 6]
retail,1258,9,20,[1 2 3 4 5 6]
retail,1263,8,19,[1 2 3 4 5 6]
retail,1264,9,20,[0 1 2 3 4 6]
retail,1265,9,19,[0 1 2 4 5 6]
retail,1362,0,0,[0 2 3 4 5 6]
retail,1385,8,18,[1 2 3 4 5 6]
retail,1386,0,0,[0 1 2 4 5 6]
retail,1510,9,19,[0 2 3 4 5 6]
retail,1511,9,19,[0 2 3 4 5 6]
retail,1514,0,0,[0 1 2 3 4 6]
retail,1515,8,18,[0 2 3 4 5 6]
retail,1516,9,20,[0 1 2 3 4 6]
retail,1628,9,19,[0 1 2 3 4 5]
retail,1629,8,19,[0 1 2 3 4 5]
hospital,30,0,0,[0 1 2 3 4 5 6]
hospital,31,0,0,[0 1 2 3 4 5 6]
hospital,111,0,0,[0 1 2 3 4 5 6]
hospital,116,0,0,[0 1 2 3 4 5 6]
hospital,1722,0,0,[0 1 2 3 4 5 6]
