type,id,startHour,finishHour,workDays
restaurant,0,10,21,[0 1 2 3 4 6]
restaurant,17,10,20,[0 1 3 4 5 6]
restaurant,23,10,21,[0 1 2 3 5]
restaurant,33,10,20,[0 2 3 5 6]
restaurant,34,10,21,[0 1 2 3 5 6]
restaurant,63,10,21,[0 1 2 4 5 6]
restaurant,70,10,21,[0 1 2 3 4 5]
restaurant,86,10,21,[1 2 4 5 6]
restaurant,172,10,21,[0 1 2 3 5]
restaurant,177,10,20,[0 1 2 4 5 6]
restaurant,178,10,21,[0 1 2 4 5 6]
restaurant,186,10,20,[0 1 2 3 4 5]
restaurant,261,10,21,[0 2 3 4 6]
restaurant,287,10,20,[0 1 2 4 6]
restaurant,346,10,21,[0 1 4 5 6]
restaurant,413,10,20,[0 1 3 4 5 6]
restaurant,418,10,20,[0 1 2 3 4]
restaurant,473,10,21,[0 1 2 3 4 6]
restaurant,514,10,20,[0 1 2 3 4 5]
restaurant,616,10,21,[0 1 3 4 5 6]
restaurant,617,10,21,[0 2 3 4 5 6]
restaurant,622,10,21,[0 1 4 5 6]
restaurant,639,10,21,[0 1 4 5 6]
restaurant,640,10,21,[0 2 3 4 5 6]
restaurant,714,10,20,[0 1 2 4 5 6]
restaurant,802,10,21,[1 2 3 4 6]
restaurant,803,10,20,[1 2 3 4 5 6]
restaurant,805,0,0,[0 2 3 4 5 6]
restaurant,806,10,20,[0 3 4 5 6]
restaurant,842,10,21,[0 1 2 3 6]
restaurant,1218,10,20,[1 2 3 4 5 6]
restaurant,1219,10,21,[1 2 3 4 5 6]
restaurant,1220,0,0,[0 1 3 4 5]
restaurant,1229,10,20,[0 2 3 4 5 6]
restaurant,1273,10,21,[0 2 3 4 5 6]
restaurant,1486,10,21,[0 1 2 3 4 5]
barbershop,117,10,19,[0 1 2 3 5 6]
barbershop,347,9,19,[0 2 3 4 5 6]
barbershop,348,10,20,[1 2 3 4 5 6]
barbershop,466,9,20,[0 2 3 4 5 6]
barbershop,583,9,20,[0 1 3 4 5 6]
barbershop,865,10,20,[0 1 3 4 5 6]
barbershop,866,9,19,[1 2 3 4 5 6]
barbershop,928,9,18,[1 2 3 4 5 6]
retail,1,9,19,[0 1 2 3 4 5]
retail,64,8,19,[0 1 2 4 5 6]
retail,65,8,18,[0 2 3 4 5 6]
retail,66,8,19,[1 2 3 4 5 6]
retail,139,8,19,[0 2 3 4 5 6]
retail,155,8,18,[0 2 3 4 5 6]
retail,179,0,0,[0 1 3 4 5 6]
retail,221,8,18,[0 1 2 4 5 6]
retail,228,9,19,[0 2 3 4 5 6]
retail,276,8,18,[1 2 3 4 5 6]
retail,280,8,19,[0 2 3 4 5 6]
retail,302,8,18,[0 1 2 3 4 5]
retail,344,8,18,[0 1 3 4 5 6]
retail,351,9,19,[0 1 2 3 4 6]
retail,412,8,18,[0 2 3 4 5 6]
retail,414,9,20,[0 1 2 4 5 6]
retail,421,9,19,[1 2 3 4 5 6]
retail,424,0,0,[0 1 2 3 4 5]
retail,437,9,20,[0 1 3 4 5 6]
retail,513,9,19,[0 2 3 4 5 6]
retail,607,9,20,[0 1 2 4 5 6]
retail,614,8,18,[1 2 3 4 5 6]
retail,709,0,0,[0 1 2 4 5 6]
retail,712,9,20,[0 1 3 4 5 6]
retail,713,9,19,[0 1 2 3 4 6]
retail,740,8,19,[0 1 2 3 4 6]
