type,id,startHour,finishHour,workDays
restaurant,0,10,21,[2 1 0 4 6 3]
restaurant,17,10,21,[3 6 5 1 4]
restaurant,23,10,21,[3 6 4 5 1]
restaurant,33,0,0,[3 6 2 5 1 0]
restaurant,34,10,21,[1 2 3 4 0]
restaurant,63,10,20,[3 5 4 1 2]
restaurant,70,10,20,[6 4 1 0 3]
restaurant,86,0,0,[5 2 6 1 3 0]
restaurant,172,10,21,[3 4 1 2 0 5]
restaurant,177,10,21,[5 6 0 4 3]
restaurant,178,10,20,[4 5 0 3 2]
restaurant,186,10,20,[6 3 1 2 5]
restaurant,261,10,21,[2 1 3 0 6 5]
restaurant,287,10,21,[5 3 6 4 1]
restaurant,413,10,20,[5 2 4 6 1 0]
restaurant,418,10,20,[0 6 3 5 1]
restaurant,473,10,20,[1 2 0 5 3 4]
restaurant,514,10,21,[4 5 0 6 3]
restaurant,616,10,20,[6 2 5 3 4]
restaurant,617,10,20,[3 4 0 6 1 5]
restaurant,622,10,21,[0 5 1 3 2]
restaurant,639,10,20,[0 6 2 5 4 1]
restaurant,640,10,21,[4 5 0 2 1 6]
restaurant,714,10,21,[4 0 1 6 3 5]
restaurant,802,10,20,[0 5 1 2 3 4]
restaurant,803,0,0,[1 5 0 3 2]
restaurant,842,0,0,[5 6 2 3 4 1]
restaurant,1218,10,21,[4 0 1 5 6]
restaurant,1219,10,21,[6 5 4 1 2 0]
restaurant,1220,10,21,[3 0 1 5 4 6]
restaurant,1229,10,21,[6 2 5 4 3 1]
restaurant,1273,10,20,[6 3 1 0 2]
restaurant,1486,10,21,[2 3 0 6 5 1]
barbershop,117,10,20,[6 4 0 3 1 5]
barbershop,347,10,21,[6 5 4 3 2]
barbershop,348,9,19,[6 5 1 2 4 3]
barbershop,466,10,21,[1 5 3 6 4]
barbershop,583,10,20,[1 2 3 5 0]
barbershop,865,10,20,[6 4 2 0 5 1]
barbershop,866,9,19,[5 1 4 6 3 2]
barbershop,928,10,18,[0 3 4 1 2]
retail,1,9,19,[1 5 6 3 4 2]
retail,64,0,0,[1 5 2 0 4 3]
retail,65,9,20,[6 5 0 4 3 1]
retail,66,8,19,[3 6 1 2 0 4]
retail,139,8,19,[0 1 6 2 3 4]
retail,155,9,20,[6 3 1 2 4 0]
retail,179,9,19,[1 6 4 3 2 5]
retail,221,8,18,[2 1 6 4 5 0]
retail,228,0,0,[1 2 6 3 0 4]
retail,276,0,0,[3 0 6 4 5 2]
retail,280,8,19,[1 0 6 2 4 5]
retail,302,9,19,[2 1 0 5 3 4]
retail,344,8,18,[0 5 3 2 1 6]
retail,412,9,19,[4 0 1 5 3 6]
retail,414,9,20,[4 5 2 0 6 1]
retail,421,8,18,[0 5 3 2 1 6]
retail,424,9,20,[5 1 0 6 2 4]
retail,437,9,20,[2 4 0 1 3 6]
retail,513,9,20,[3 1 0 4 5 6]
retail,607,9,20,[2 4 6 5 3 0]
retail,614,8,18,[6 0 5 2 4 1]
retail,709,8,18,[0 3 1 6 2 5]
retail,712,9,20,[0 4 5 6 1 3]
retail,713,8,19,[6 0 2 5 3 4]
retail,740,8,19,[1 6 0 5 3 2]
retail,742,8,18,[6 2 1 5 0 3]
retail,857,8,19,[3 6 5 0 2 1]
retail,858,9,19,[0 3 5 4 6 1]
retail,897,8,18,[1 3 2 0 4 5]
retail,929,8,19,[4 3 6 1 5 0]
retail,988,9,20,[0 2 6 5 1 3]
retail,989,9,20,[4 0 5 1 3 6]
retail,990,8,19,[2 5 6 0 1 3]
retail,991,8,18,[6 1 0 2 4 3]
retail,992,8,18,[0 3 4 1 2 6]
retail,993,8,19,[5 1 0 6 3 4]
retail,997,9,19,[6 0 5 4 2 3]
retail,1000,8,19,[5 4 1 0 3 2]
retail,1001,8,19,[2 3 0 5 1 6]
retail,1006,8,18,[6 0 1 5 2 3]
retail,1007,9,20,[0 1 2 5 3 4]
retail,1008,9,19,[6 2 3 4 0 1]
retail,1010,8,18,[1 4 3 5 6 2]
retail,1011,8,19,[3 0 6 2 4 1]
retail,1012,9,20,[0 5 3 4 2 6]
retail,1013,0,0,[4 2 5 3 1 6]
retail,1014,8,19,[1 5 2 6 4 0]
retail,1015,9,19,[1 0 6 2 4 5]
retail,1016,0,0,[3 0 6 4 2 1]
retail,1018,9,19,[2 5 0 3 6 4]
retail,1019,9,19,[2 1 6 5 4 0]
retail,1256,9,19,[4 2 6 0 3 5]
retail,1257,9,20,[5 2 0 3 6 4]
retail,1258,8,19,[4 3 6 1 0 2]
retail,1263,8,19,[5 0 3 2 1 6]
retail,1264,9,20,[5 3 4 1 0 2]
retail,1265,8,19,[1 2 4 0 6 5]
retail,1362,8,19,[5 0 4 3 1 2]
retail,1385,9,19,[0 3 1 4 2 6]
retail,1386,8,19,[3 1 6 0 4 5]
retail,1510,9,20,[5 3 6 2 1 4]
retail,1511,9,19,[3 1 0 4 6 2]
retail,1514,8,18,[4 5 6 0 3 2]
retail,1515,9,20,[5 4 3 0 6 1]
retail,1516,9,20,[3 2 6 4 5 0]
retail,1628,9,20,[2 1 3 4 0 5]
retail,1629,8,18,[3 2 6 5 4 0]
hospital,30,0,0,[6 2 4 1 0 3 5]
hospital,31,0,0,[6 3 4 2 1 0 5]
hospital,111,0,0,[0 3 5 6 4 1 2]
hospital,116,0,0,[6 5 4 1 0 3 2]
hospital,1722,0,0,[3 2 1 0 6 5 4]
